Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
tutorialTipQuest02,Journal Tip,,,,"Greetings Zombie Slayer,This is War3zuk the mod author speaking..\n\nYou are currently using the War3zuk 105 inventory slots UI, You start the game with 15 slots and will be granted a further 15 when you max out the perk, Pack Mule, giving you a total of 30 usable inventory slots.\n\nThe only way to add the other 75 slots is to find and use the HD Ruck Sack Addons which are found in Dumpsters, Lockers, Army trucks and often rubbish piles that are then added to Armor pieces granting 15 extra slots each, -War3zuk",,"Seid gegrüßt, Zombie-Jäger! Hier spricht War3zuk, der Mod-Autor. \n\n Ihr verwendet aktuell die War3zuk-Benutzeroberfläche mit 105 Inventarplätzen. Ihr startet das Spiel mit 15 Plätzen und erhaltet weitere 15, sobald ihr den Vorteil „Packesel“ maximiert habt. Damit stehen euch insgesamt 30 nutzbare Inventarplätze zur Verfügung. \n\n Die restlichen 75 Plätze erhaltet ihr nur durch die HD-Rucksack-Addons. Diese findet ihr in Müllcontainern, Spinden, Armeelastwagen und oft auch in Müllhaufen. Die Addons werden dann an Rüstungsteilen angebracht und gewähren jeweils 15 zusätzliche Plätze. – War3zuk",,,,,,,,,,,,
AUTO_FIX_KEY_7,,,,,,,,,,,,,,,,,,,
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Good job on completing the basics,\n\nYou can now head towards the Trader.\n\nWelcome Aboard Player, War3zuk",,"Gut gemacht, dass du die Grundlagen abgeschlossen hast. \n\n Du kannst dich jetzt zum Händler begeben. \n\n Willkommen an Bord, Spieler War3zuk",,,,,,,,,,,,
AUTO_FIX_KEY_8,,,,,,,,,,,,,,,,,,,
quest_white_river_completion,Quest,Quest Info,,,"Noah sent you, eh? Well, you're going to have to show us your capabilities.\n\nTake this first bundle and accept your first quest. ",,"Noah hat dich geschickt, nicht wahr? Nun, du musst uns erst einmal zeigen, was du kannst. \n\nNimm dieses erste Bündel und nimm deine erste Quest an.",,,,,,,,,,,,
AUTO_FIX_KEY_9,,,,,,,,,,,,,,,,,,,
buffBurnt01Desc,buffs,Buff,,,"Course smoke irritates your lungs. Go indoors to catch your breath, or drink a burnt smoothie to make breathing a little easier.",,"Grober Rauch reizt die Lunge. Gehen Sie ins Haus, um wieder zu Atem zu kommen, oder trinken Sie einen angebrannten Smoothie, um das Atmen etwas zu erleichtern.",,,,,,,,,,,,
buffBurnt02Desc,buffs,Buff,,,"The smoke gets thicker and starts to do damage. If you don’t act quickly, you will suffocate to death.",,"Der Rauch wird dichter und richtet Schaden an. Wenn Sie nicht schnell handeln, werden Sie ersticken.",,,,,,,,,,,,
AUTO_FIX_KEY_10,,,,,,,,,,,,,,,,,,,
buffDesert01Desc,buffs,Buff,,,"you are overheating quickly, Get yourself inside to start recovery, or drink something to cool down. A refreshing Oasis Smoothie might do the trick, or try coming back at night.",,"Dir wird schnell zu heiß. Geh ins Warme, um dich zu erholen, oder trink etwas Kühlendes. Ein erfrischender Oasis Smoothie könnte helfen, oder versuche, abends wiederzukommen.",,,,,,,,,,,,
buffDesert02Desc,buffs,Buff,,The heat is blazing and your head is throbbing. Heatstroke is imminent if you don't cool down quickly.,,,,,,,,,,,,,,,
AUTO_FIX_KEY_11,,,,,,,,,,,,,,,,,,,
buffSnow01Desc,buffs,Buff,,,"Freezing temperatures can make short work of the unprepared. Seek shelter indoors to recover from cold, or stand next to a cozy fire. A Frostbite Smoothie might be what you need, or a nice hot meal.",,"Eisige Temperaturen können Unvorbereiteten schnell zu schaffen machen. Suchen Sie Schutz in einem Gebäude, um sich von der Kälte zu erholen, oder wärmen Sie sich an einem Kamin. Ein Frostbeulen-Smoothie oder eine warme Mahlzeit könnten genau das Richtige sein.",,,,,,,,,,,,
buffSnow02Desc,buffs,Buff,,The harsh cold burns away at your skin. You won't survive long unless you can heat up quickly.,,,,,,,,,,,,,,,
AUTO_FIX_KEY_12,,,,,,,,,,,,,,,,,,,
buffWasteland01Desc,buffs,Buff,,,"An invisible killer is the reason this place remains dead. Seek shelter indoors, or drink an Atomic Smoothie to protect yourself.",,"Ein unsichtbarer Killer ist der Grund, warum dieser Ort tot ist. Sucht Schutz in Gebäuden oder trinkt einen Atomic Smoothie, um euch zu schützen.",,,,,,,,,,,,
buffWasteland02Desc,buffs,Buff,,,"Your head spins and your stomach churns. Something is very wrong, and you’ll die if you don’t act fast.",,"Dir wird schwindelig und dein Magen krampft sich zusammen. Irgendetwas stimmt ganz und gar nicht, und du wirst sterben, wenn du nicht schnell handelst.",,,,,,,,,,,,
AUTO_FIX_KEY_13,,,,,,,,,,,,,,,,,,,
biomeBadge1Desc,items,Item,,,This badge marks your first steps toward surviving the apocalypse. Partially increases your resistance to biome hazards.\n\nDoes not protect against storms.,,Dieses Abzeichen markiert deine ersten Schritte zum Überleben der Apokalypse. Erhöht teilweise deine Widerstandsfähigkeit gegen Biomgefahren. \n\n Schützt nicht vor Stürmen.,,,,,,,,,,,,
biomeBadge2Desc,items,Item,,,This badge honors your growing confidence in surviving the apocalypse. Moderately increases your resistance to biome hazards.\n\nDoes not protect against storms.,,"Dieses Abzeichen würdigt dein wachsendes Selbstvertrauen, die Apokalypse zu überleben. Erhöht deine Widerstandsfähigkeit gegen Biomgefahren mäßig. \n\n Schützt nicht vor Stürmen.",,,,,,,,,,,,
biomeBadge3Desc,items,Item,,,This badge is a symbol of your hard-earned survival skills. Greatly increases your resistance to biome hazards.\n\nDoes not protect against storms.,,Dieses Abzeichen ist ein Symbol für deine hart erworbenen Überlebensfähigkeiten. Es erhöht deine Widerstandsfähigkeit gegen Gefahren in den Biomen erheblich. \n\n Schützt nicht vor Stürmen.,,,,,,,,,,,,
biomeBadge4Desc,items,Item,,,This prestigious badge reflects your exceptional mastery in surviving the apocalypse. Drastically increases your resistance to biome hazards.\n\nDoes not protect against storms.,,Dieses prestigeträchtige Abzeichen spiegelt deine außergewöhnlichen Fähigkeiten im Überleben in der Apokalypse wider. Erhöht deine Widerstandsfähigkeit gegen Biomgefahren drastisch. \n\n Schützt nicht vor Stürmen.,,,,,,,,,,,,
AUTO_FIX_KEY_14,,,,,,,,,,,,,,,,,,,
biomeBadge1Desc,items,Item,,,This badge marks your first steps toward surviving the apocalypse. Partially increases your resistance to biome hazards.\n\nDoes not protect against storms.,,Dieses Abzeichen markiert deine ersten Schritte zum Überleben der Apokalypse. Erhöht teilweise deine Widerstandsfähigkeit gegen Biomgefahren. \n\n Schützt nicht vor Stürmen.,,,,,,,,,,,,
biomeBadge2Desc,items,Item,,,This badge honors your growing confidence in surviving the apocalypse. Moderately increases your resistance to biome hazards.\n\nDoes not protect against storms.,,"Dieses Abzeichen würdigt dein wachsendes Selbstvertrauen, die Apokalypse zu überleben. Erhöht deine Widerstandsfähigkeit gegen Biomgefahren mäßig. \n\n Schützt nicht vor Stürmen.",,,,,,,,,,,,
biomeBadge3Desc,items,Item,,,This badge is a symbol of your hard-earned survival skills. Greatly increases your resistance to biome hazards.\n\nDoes not protect against storms.,,Dieses Abzeichen ist ein Symbol für deine hart erworbenen Überlebensfähigkeiten. Es erhöht deine Widerstandsfähigkeit gegen Gefahren in den Biomen erheblich. \n\n Schützt nicht vor Stürmen.,,,,,,,,,,,,
biomeBadge4Desc,items,Item,,,This prestigious badge reflects your exceptional mastery in surviving the apocalypse. Drastically increases your resistance to biome hazards.\n\nDoes not protect against storms.,,Dieses prestigeträchtige Abzeichen spiegelt deine außergewöhnlichen Fähigkeiten im Überleben in der Apokalypse wider. Erhöht deine Widerstandsfähigkeit gegen Biomgefahren drastisch. \n\n Schützt nicht vor Stürmen.,,,,,,,,,,,,
AUTO_FIX_KEY_15,,,,,,,,,,,,,,,,,,,
ScrappedSchematicsDesc,,item,Tools,newKey,These can be bundled or placed in the HD PicsBench to Craft new schematics.,,"Diese können gebündelt oder in HD PicsBench platziert werden, um neue Schaltpläne zu erstellen.",,,,,,,,,,,,
ScrappedSchematicsBundleDesc,,item,Tools,newKey,Combined scrap schematics that are bundled together in order to sell to the Trader.,,"Zusammengefasste Schrottschaltpläne, die gebündelt werden, um sie an den Händler zu verkaufen.",,,,,,,,,,,,
AUTO_FIX_KEY_16,,,,,,,,,,,,,,,,,,,
tooltipJammed,UI,Menu,,,[d50937]<{0}> Use {1} ([d50937]Jammed[-]),,[d50937]<{0}> Verwenden Sie {1} ([d50937]Blockiert[-]),,,,,,,,,,,,
tooltipLocked,UI,Menu,,,[3d5aab]<{0}>[-] Open {1} ([3d5aab]Locked[-]),,[3d5aab]<{0}>[-] Offen {1} ([3d5aab] Gesperrt[-]),,,,,,,,,,,,
tooltipUnlocked,UI,Menu,,,[ab8e3d]<{0}>[-] Open {1} ([ab8e3d]UnLocked[-]),,[ab8e3d]<{0}>[-] Öffnen {1} ([ab8e3d]Entsperrt[-]),,,,,,,,,,,,
lootTooltipNew,UI,Use Prompt,,,[d50937]<{0}> Search[-] {1} [d50937](Untouched)[-],,[d50937]<{0}> Suche[-] {1} [d50937](Unberührt)[-],,,,,,,,,,,,
AUTO_FIX_KEY_17,,,,,,,,,,,,,,,,,,,
lootEntity,UI,Use Prompt,,,<{0}> [dfc90d]Search[-]{1},<{0}> [dfc90d]Search[-]{1},<{0}> [dfc90d]Suche[-]{1},,,,,,,,,,,,
lootTooltipEmpty,UI,Use Prompt,,,[f30f0f]Empty[-] {1},[f30f0f]Empty[-] {1},[f30f0f]Leer[-] {1},,,,,,,,,,,,
AUTO_FIX_KEY_18,,,,,,,,,,,,,,,,,,,
pickupCrops,UI,HUD,,,"[FFFFFF]Press[-] [d50937]<{{0}}>[-], To Pickup [d50937]{0} {1} [-]",,"[FFFFFF]Drücken[-] [d50937]<{{0}}>[-], zum Aufnehmen [d50937]{0} {1} [-]",,,,,,,,,,,,
pickupPrompt,UI,HUD,,,"[FFFFFF]Press[-] [d50937]<{{0}}>[-], To Pickup [d50937]{0} [-]",,"[FFFFFF]Drücken[-] [d50937]<{{0}}>[-], zum Aufnehmen [d50937]{0} [-]",,,,,,,,,,,,
AUTO_FIX_KEY_19,,,,,,,,,,,,,,,,,,,
tooltipUnlocked,UI,Menu,,,<{0}> Use {1} ([d50937]Unlocked[-]),,<{0}> Verwenden Sie {1} ([d50937]Entsperrt[-]),,,,,,,,,,,,
lootTooltipTouched,UI,Use Prompt,,,<{0}> [d50937]Search[-] {1},<{0}> [d50937]Search[-] {1},<{0}> [d50937]Suche[-] {1},,,,,,,,,,,,
AUTO_FIX_KEY_20,,,,,,,,,,,,,,,,,,,
useBlock,UI,Menu,,,<{0}> [d50937]use [-]{1},<{0}> [d50937]Use [-]{1},<{0}> [d50937]use [-]{1},,,,,,,,,,,,
lootTooltipTouched,UI,Use Prompt,,,<{0}> [d50937]Search[-] {1},,<{0}> [d50937]Suche[-] {1},,,,,,,,,,,,
AUTO_FIX_KEY_21,,,,,,,,,,,,,,,,,,,
War3zukBladeQuestDesc,Quest,Quest Info,,,War3zuk Machete Skills Needed,,War3zuk Machetenfähigkeiten benötigt,,,,,,,,,,,,
War3zukArmorQuestDesc,Quest,Quest Info,,,War3zuk Kill The Dogs And Pigs,,War3zuk Tötet die Hunde und Schweine,,,,,,,,,,,,
AUTO_FIX_KEY_22,,,,,,,,,,,,,,,,,,,
gunHandgunT0PipePistolDesc,items,Gun,,,A home-made pistol firing 9mm ammo.\n\nRepair with HD Repair Kits for pipe weapons.\nScrap to Iron.,,"Eine selbstgebaute Pistole, die 9-mm-Munition verschießt. \n\nReparieren Sie mit HD-Reparatursets für Rohrwaffen. \nZerlegen und zu Eisen verarbeiten.",,,,,,,,,,,,
gunShotgunT0PipeShotgunDesc,items,Gun,,,A home-made gun firing shotgun shells.\nEffective at very close ranges.\n\nRepair with HD Repair Kits for pipe weapons.\nScrap to Iron.,,"Eine selbstgebaute Waffe, die Schrotpatronen verschießt. \n Wirksam auf sehr kurze Distanz. \n\n Reparierbar mit HD-Reparatursets für Rohrwaffen. \n Zu Eisen zerlegen.",,,,,,,,,,,,
gunRifleT0PipeRifleDesc,items,Gun,,,A home-made rifle firing 7.62mm ammo.\n\nRepair with HD Repair Kits for pipe weapons.\nScrap to Iron.,,"Ein selbstgebautes Gewehr, das 7,62-mm-Munition verschießt. \n\nReparieren Sie es mit HD-Reparatursets für Rohrwaffen. \nZerlegen Sie es zu Eisen.",,,,,,,,,,,,
gunMGT0PipeMachineGunDesc,items,Gun,,,A home-made automatic weapon firing 7.62mm ammo.\n\nRepair with HD Repair Kits for pipe weapons.\nScrap to Iron.,,"Eine selbstgebaute automatische Waffe, die 7,62-mm-Munition verschießt. \n\nReparieren Sie mit HD-Reparatursets für Rohrwaffen. \nZerlegen Sie die Waffe zu Eisen.",,,,,,,,,,,,
AUTO_FIX_KEY_23,,,,,,,,,,,,,,,,,,,
MilitaryTabletsDesc,,item,Tools,newKey,Use to craft either Purified Or mineral water.,,Wird zur Herstellung von gereinigtem Wasser oder Mineralwasser verwendet.,,,,,,,,,,,,
AUTO_FIX_KEY_24,,,,,,,,,,,,,,,,,,,
Headwounds Baked Donut,,item,Food,newKey,Headwound's Baked Donut,,Headwounds gebackener Donut,,,,,,,,,,,,
AUTO_FIX_KEY_25,,,,,,,,,,,,,,,,,,,
DonutSprinklesDesc,,item,Tools,newKey,Freshly packaged sprinkles ready to be used as a topping.,,"Frisch verpackte Streusel, die als Topping verwendet werden können.",,,,,,,,,,,,
AUTO_FIX_KEY_26,,,,,,,,,,,,,,,,,,,
JambalayaInstaMixDesc,,item,Tools,newKey,Jambalaya InstaMix has already been prepared with Rice and spices so all you need to add is your own special touch.,,"Jambalaya InstaMix ist bereits mit Reis und Gewürzen zubereitet, Sie müssen nur noch Ihre eigene besondere Note hinzufügen.",,,,,,,,,,,,
AUTO_FIX_KEY_27,,,,,,,,,,,,,,,,,,,
Primates Run N Gun Juice,,item,Food,newKey,Primate's Run N Gun Juice,,Primate's Run N Gun Juice,,,,,,,,,,,,
AUTO_FIX_KEY_28,,,,,,,,,,,,,,,,,,,
Takayans Sashimi,,item,Food,newKey,Takayan's Sashimi,,Takayans Sashimi,,,,,,,,,,,,
AUTO_FIX_KEY_29,,,,,,,,,,,,,,,,,,,
Coachs Chilli Donner Kebab,,item,Food,newKey,Coach's Chilli Donner Kebab,,Coach's Chilli Donner Kebab,,,,,,,,,,,,
AUTO_FIX_KEY_30,,,,,,,,,,,,,,,,,,,
DroppedBloodDesc,,item,Tools,newKey,Youve Found Blood. Probably from a Dead Corpse. This can be made into something im sure.,,Du hast Blut gefunden. Wahrscheinlich von einer Leiche. Daraus lässt sich bestimmt noch etwas machen.,,,,,,,,,,,,
AUTO_FIX_KEY_31,,,,,,,,,,,,,,,,,,,
HDUnionRoasted,,item,Food,newKey,HD Union Roasted,,HD Union Roasted,,,,,,,,,,,,
HDUnionRoastedDesc,,item,Tools,newKey,Kick Ass Coffee Just when you need the Buzz.,,"Kick Ass Coffee – genau dann, wenn du den Kick brauchst.",,,,,,,,,,,,
AUTO_FIX_KEY_32,,,,,,,,,,,,,,,,,,,
ammoBlunderbuss,,item,Items,newKey,HD Blunderbuss Ammo,,HD Donnerbüchsenmunition,,,,,,,,,,,,
HD Advanced Shredder Ammo,,item,Items,newKey,HD Blunderbuss Blaster Ammo,,HD Donnerbüchsen-Blaster-Munition,,,,,,,,,,,,
HD Advanced Shredder1,,item,Items,newKey,HD Blunderbuss Breach Ammo,,HD Donnerbüchsen-Breach-Munition,,,,,,,,,,,,
Ammo Supply Shredder,,item,Items,newKey,Ammo Supply Blunderbuss,,Munitionsversorgung Donnerbüchse,,,,,,,,,,,,
AUTO_FIX_KEY_33,,,,,,,,,,,,,,,,,,,
ammoSupplyShredderDesc,,item,Tools,newKey,Youve found a box of Blunderbuss Blaster Ammo,,Du hast eine Schachtel Donnerbüchsen-Blastermunition gefunden.,,,,,,,,,,,,
ammoSupplyShredder1Desc,,item,Tools,newKey,Youve found a box of Blunderbuss Breach Ammo,,Du hast eine Schachtel Donnerbüchsen-Breach-Munition gefunden.,,,,,,,,,,,,
AUTO_FIX_KEY_34,,,,,,,,,,,,,,,,,,,
HDBlunderbussAmmoDesc,,item,Tools,newKey,HD Blunderbuss Ammo for the HD Blunderbuss.\n\nA very powerful round that lacks stopping power but will do high damage at very close range.,,"HD-Donnerbüchsenmunition für die HD-Donnerbüchse.\n\nEine sehr durchschlagskräftige Patrone, die zwar wenig Stoppwirkung hat, aber auf sehr kurze Distanz hohen Schaden verursacht.",,,,,,,,,,,,
AUTO_FIX_KEY_35,,,,,,,,,,,,,,,,,,,
HDBlunderbussAmmoAdvDesc,,item,Tools,newKey,HD Blunderbuss Ammo Adv for the HD Blunderbuss.\n\nA very powerful round that works quite well at range and adds a certain amount of stopping power.,,"HD Blunderbuss Munitions-Adv für die HD Blunderbuss.\n\nEine sehr leistungsstarke Patrone, die auf Distanz sehr gut funktioniert und eine gewisse Stoppwirkung hinzufügt.",,,,,,,,,,,,
AUTO_FIX_KEY_36,,,,,,,,,,,,,,,,,,,
HDShredderAmmo1Desc,,item,Tools,newKey,HD Blunderbuss Ammo Breach for the HD Blunderbuss.\n\nA very powerful round with good stopping power but ultimately does more damage to solid objects.,,"HD-Donnerbüchsen-Munitionsbruch für die HD-Donnerbüchse.\n\nEine sehr durchschlagskräftige Patrone mit guter Stoppwirkung, die jedoch letztendlich mehr Schaden an festen Objekten verursacht.",,,,,,,,,,,,
AUTO_FIX_KEY_37,,,,,,,,,,,,,,,,,,,
drinkJarEmptyDesc,,item,Tools,newKey,Can be filled with River Water using the HD Fridge. HD Water Dispenser.\n\nYou can also use the campfire to craft Drinkable water.,,"Kann mit Flusswasser mithilfe des HD-Kühlschranks befüllt werden. HD-Wasserspender.\n\nSie können auch das Lagerfeuer nutzen, um Trinkwasser herzustellen.",,,,,,,,,,,,
AUTO_FIX_KEY_38,,,,,,,,,,,,,,,,,,,
HDBlunderbussHoloSight,,item,Food,newKey,HD Blunderbuss HoloSight,,HD Blunderbuss HoloSight,,,,,,,,,,,,
HDBlunderbussFlashLight,,item,Food,newKey,HD Blunderbuss FlashLight,,HD-Donnerbüchsen-Taschenlampe,,,,,,,,,,,,
AUTO_FIX_KEY_39,,,,,,,,,,,,,,,,,,,
HDBlunderbussLaserSightDesc,,item,Tools,newKey,BlunderBuss LaserSight That can only be fitted to the BlunderBuss,,"BlunderBuss LaserSight, das nur an der BlunderBuss angebracht werden kann.",,,,,,,,,,,,
HDBlunderbussFlashlightDesc,,item,Tools,newKey,BlunderBuss FlashLight That can only be fitted to the BlunderBuss,,"BlunderBuss-Taschenlampe, die nur an den BlunderBuss angebracht werden kann.",,,,,,,,,,,,
AUTO_FIX_KEY_40,,,,,,,,,,,,,,,,,,,
HDHazmatFiber,,item,Food,newKey,HD Hazmat Fiber,,HD-Gefahrgutfaser,,,,,,,,,,,,
HDHazmatBoots,,item,Food,newKey,HD Hazmat Boots,,HD-Gefahrgutstiefel,,,,,,,,,,,,
HDHazmatPants,,item,Food,newKey,HD Hazmat Pants,,HD-Gefahrstoffhose,,,,,,,,,,,,
HDHazmatJacket,,item,Food,newKey,HD Hazmat Jacket,,HD-Gefahrgutjacke,,,,,,,,,,,,
HDHazmatGloves,,item,Food,newKey,HD Hazmat Gloves,,HD-Gefahrguthandschuhe,,,,,,,,,,,,
HDHazmatMask,,item,Food,newKey,HD Hazmat Mask,,HD-Gefahrstoffmaske,,,,,,,,,,,,
AUTO_FIX_KEY_41,,,,,,,,,,,,,,,,,,,
HDHazmatFiberDesc,,item,Tools,newKey,Used in the production of HD Radiation Hazmat Gear ADDONS.,,Wird bei der Herstellung von HD-Strahlungs- und Gefahrgut-Ausrüstungszusätzen verwendet.,,,,,,,,,,,,
HDHazmatMasterDesc,,item,Tools,newKey,HD Radiation Suit Addons.\n\nEach Piece Adds 20 Percent Protection Against Radiation. But you will not survive unless you have ALL 5 Pieces Equipped Into Armor.\n\nSchematics can ONLY be Found as a Reward for completing the Mods Main Quests.,,"HD-Strahlenschutzanzug-Add-ons.\n\nJedes Teil erhöht den Strahlenschutz um 20 Prozent. Du überlebst jedoch nur, wenn du alle 5 Teile als Rüstung ausgerüstet hast.\n\nBaupläne können NUR als Belohnung für den Abschluss der Hauptquests der Mod gefunden werden.",,,,,,,,,,,,
AUTO_FIX_KEY_42,,,,,,,,,,,,,,,,,,,
HDDecochimneyPOI,blocks,Container,,,HD Deco Chimney,,HD Deco Schornstein,,,,,,,,,,,,
HDDecochimneyBlackPOI,blocks,Container,,,HD Deco Chimney,,HD Deco Schornstein,,,,,,,,,,,,
AUTO_FIX_KEY_43,,,,,,,,,,,,,,,,,,,
HDPowerRelayBlockDesc,,item,Tools,newKey,HD Power Relay Shows NO Wires.\n\nConnect the 1st Relay And from that point NO wires will be shown.,,Das HD-Leistungsrelais zeigt keine Drähte an.\n\nSchließen Sie das 1. Relais an. Ab diesem Punkt werden keine Drähte mehr angezeigt.,,,,,,,,,,,,
AUTO_FIX_KEY_44,,,,,,,,,,,,,,,,,,,
HDBicycle,vehicles,item,,,HD Bicycle,,HD-Fahrrad,,,,,,,,,,,,
HDBicyclePlaceable,vehicles,item,,,HD Bicycle,,HD-Fahrrad,,,,,,,,,,,,
HDWar3zukMoto,vehicles,item,,,HD War3zuk Moto,,HD War3zuk Moto,,,,,,,,,,,,
HDWar3zukMotoPlaceable,vehicles,item,,,HD War3zuk Moto,,HD War3zuk Moto,,,,,,,,,,,,
HDWar3zukQuad,vehicles,item,,,HD War3zuk Quad,,HD War3zuk Quad,,,,,,,,,,,,
HDWar3zukQuadPlaceable,vehicles,item,,,HD War3zuk Quad,,HD War3zuk Quad,,,,,,,,,,,,
HDWar3zuk4x4,vehicles,item,,,HD War3zuk 4x4,,HD War3zuk 4x4,,,,,,,,,,,,
HDWar3zuk4x4Placeable,vehicles,item,,,HD War3zuk 4x4,,HD War3zuk 4x4,,,,,,,,,,,,
HDWar3zukBuggy,vehicles,item,,,HD War3zuk Buggy,,HD War3zuk Buggy,,,,,,,,,,,,
HDWar3zukBuggyPlaceable,vehicles,item,,,HD War3zuk Buggy,,HD War3zuk Buggy,,,,,,,,,,,,
